well,log_type,dt,p0_total,p0_zero,p0_cont,eps,n_samples
356-U1461D,GR,100,0.008886810102899906,0.0,0.008886810102899906,0.05137254101487059,6414
356-U1461D,GR,250,0.011015325670498084,0.0,0.011015325670498084,0.05137254101487059,6264
356-U1461D,GR,500,0.0068174260059860325,0.0,0.0068174260059860325,0.05137254101487059,6014
356-U1461D,GR,1000,0.004896626768226333,0.0,0.004896626768226333,0.05137254101487059,5514
356-U1462A,GR,1,0.06701836654943337,0.00039077764751856197,0.06662758890191481,0.04328507239266098,5118
356-U1462A,GR,3,0.028146989835809225,0.00019546520719311962,0.027951524628616106,0.04328507239266098,5116
356-U1462A,GR,8,0.024065740559577383,0.0,0.024065740559577383,0.04328507239266098,5111
356-U1462A,GR,10,0.015462908592679585,0.0,0.015462908592679585,0.04328507239266098,5109
356-U1462A,GR,20,0.012747597568150618,0.0,0.012747597568150618,0.04328507239266098,5099
356-U1462A,GR,50,0.010258433616097849,0.0,0.010258433616097849,0.04328507239266098,5069
356-U1462A,GR,100,0.010360629607491532,0.0,0.010360629607491532,0.04328507239266098,5019
356-U1462A,GR,250,0.01252823988498665,0.0,0.01252823988498665,0.04328507239266098,4869
356-U1462A,GR,500,0.0049794327776575015,0.0,0.0049794327776575015,0.04328507239266098,4619
356-U1462A,GR,1000,0.0029133284777858705,0.0,0.0029133284777858705,0.04328507239266098,4119
356-U1463B,GR,1,0.10735656458993312,0.00035198873636043646,0.10700457585357269,0.055696937300179716,2841
356-U1463B,GR,3,0.06128918633321592,0.0003522367030644593,0.06093694963015146,0.055696937300179716,2839
356-U1463B,GR,8,0.032462949894142556,0.0,0.032462949894142556,0.055696937300179716,2834
356-U1463B,GR,10,0.0278954802259887,0.0,0.0278954802259887,0.055696937300179716,2832
356-U1463B,GR,20,0.01913536498936924,0.0,0.01913536498936924,0.055696937300179716,2822
356-U1463B,GR,50,0.015759312320916905,0.0,0.015759312320916905,0.055696937300179716,2792
356-U1463B,GR,100,0.012035010940919038,0.0,0.012035010940919038,0.055696937300179716,2742
356-U1463B,GR,250,0.008487654320987654,0.0,0.008487654320987654,0.055696937300179716,2592
356-U1463B,GR,500,0.0025619128949615714,0.0,0.0025619128949615714,0.055696937300179716,2342
356-U1463B,GR,1000,0.0010857763300760044,0.0,0.0010857763300760044,0.055696937300179716,1842
356-U1464C,GR,1,0.048969598041216075,0.0,0.048969598041216075,0.04636924729772265,4901
356-U1464C,GR,3,0.025923657889365178,0.0,0.025923657889365178,0.04636924729772265,4899
356-U1464C,GR,8,0.019207192480588477,0.0,0.019207192480588477,0.04636924729772265,4894
356-U1464C,GR,10,0.018601798855273917,0.0,0.018601798855273917,0.04636924729772265,4892
356-U1464C,GR,20,0.017410897173289634,0.0,0.017410897173289634,0.04636924729772265,4882
356-U1464C,GR,50,0.01483924154987634,0.0,0.01483924154987634,0.04636924729772265,4852
356-U1464C,GR,100,0.014577259475218658,0.0,0.014577259475218658,0.04636924729772265,4802
356-U1464C,GR,250,0.01354256233877902,0.0,0.01354256233877902,0.04636924729772265,4652
356-U1464C,GR,500,0.010904134484325307,0.0,0.010904134484325307,0.04636924729772265,4402
356-U1464C,GR,1000,0.006150691952844695,0.0,0.006150691952844695,0.04636924729772265,3902
359-U1466B,GR,1,0.05382562277580071,0.0,0.05382562277580071,0.02219972757677241,2248
359-U1466B,GR,3,0.021816562778272486,0.0,0.021816562778272486,0.02219972757677241,2246
359-U1466B,GR,8,0.0178491744756805,0.0,0.0178491744756805,0.02219972757677241,2241
359-U1466B,GR,10,0.00982581509602501,0.0,0.00982581509602501,0.02219972757677241,2239
359-U1466B,GR,20,0.012113055181695828,0.0,0.012113055181695828,0.02219972757677241,2229
359-U1466B,GR,50,0.006366530241018645,0.0,0.006366530241018645,0.02219972757677241,2199
359-U1466B,GR,100,0.009771986970684038,0.0,0.009771986970684038,0.02219972757677241,2149
359-U1466B,GR,250,0.0080040020010005,0.0,0.0080040020010005,0.02219972757677241,1999
359-U1466B,GR,500,0.008576329331046312,0.0,0.008576329331046312,0.02219972757677241,1749
359-U1466B,GR,1000,0.008006405124099279,0.0,0.008006405124099279,0.02219972757677241,1249
359-U1467C,GR,1,0.06861025865848312,0.00021920210434020167,0.06839105655414292,0.020848688082471097,4562
359-U1467C,GR,3,0.03048245614035088,0.0,0.03048245614035088,0.020848688082471097,4560
359-U1467C,GR,8,0.018221734357848518,0.0,0.018221734357848518,0.020848688082471097,4555
359-U1467C,GR,10,0.014715572150230618,0.00021963540522732265,0.014495936745003294,0.020848688082471097,4553
359-U1467C,GR,20,0.012766894122826326,0.0,0.012766894122826326,0.020848688082471097,4543
359-U1467C,GR,50,0.016840239308663858,0.0,0.016840239308663858,0.020848688082471097,4513
359-U1467C,GR,100,0.012547613712749272,0.0,0.012547613712749272,0.020848688082471097,4463
359-U1467C,GR,250,0.010897287271041039,0.0,0.010897287271041039,0.020848688082471097,4313
359-U1467C,GR,500,0.012552301255230125,0.0,0.012552301255230125,0.020848688082471097,4063
359-U1467C,GR,1000,0.010103845074375527,0.0,0.010103845074375527,0.020848688082471097,3563
359-U1468B,GR,1,0.059641768292682924,0.00019054878048780488,0.05945121951219512,0.017929865806013693,5248
359-U1468B,GR,3,0.02954632100648113,0.0,0.02954632100648113,0.017929865806013693,5246
359-U1468B,GR,8,0.019461934745277618,0.0,0.019461934745277618,0.017929865806013693,5241
359-U1468B,GR,10,0.018705859896926896,0.0,0.018705859896926896,0.017929865806013693,5239
359-U1468B,GR,20,0.01434308663224326,0.0,0.01434308663224326,0.017929865806013693,5229
359-U1468B,GR,50,0.012887093671859973,0.0,0.012887093671859973,0.017929865806013693,5199
359-U1468B,GR,100,0.011652748106428433,0.0,0.011652748106428433,0.017929865806013693,5149
359-U1468B,GR,250,0.011002200440088018,0.0,0.011002200440088018,0.017929865806013693,4999
359-U1468B,GR,500,0.014108233312276269,0.0,0.014108233312276269,0.017929865806013693,4749
359-U1468B,GR,1000,0.007766533301953401,0.0,0.007766533301953401,0.017929865806013693,4249
359-U1471E,GR,1,0.060272699101332504,0.0015494267121165168,0.05872327238921599,0.019360534091384916,6454
359-U1471E,GR,3,0.03859268443893366,0.0006199628022318661,0.037972721636701796,0.019360534091384916,6452
359-U1471E,GR,8,0.024507522878858382,0.0006204436171862882,0.023887079261672096,0.019360534091384916,6447
359-U1471E,GR,10,0.01986035686578743,0.0,0.01986035686578743,0.019360534091384916,6445
359-U1471E,GR,20,0.018648018648018648,0.0,0.018648018648018648,0.019360534091384916,6435
359-U1471E,GR,50,0.012177985948477752,0.0,0.012177985948477752,0.019360534091384916,6405
359-U1471E,GR,100,0.011487018095987412,0.00015735641227380016,0.011329661683713611,0.019360534091384916,6355
359-U1471E,GR,250,0.008541498791297342,0.0,0.008541498791297342,0.019360534091384916,6205
359-U1471E,GR,500,0.00906801007556675,0.0,0.00906801007556675,0.019360534091384916,5955
359-U1471E,GR,1000,0.009532538955087076,0.00018331805682859762,0.009349220898258478,0.019360534091384916,5455
367-U1499B,GR,1,0.06220095693779904,0.0001543448062972681,0.062046612131501776,0.082363217884999,6479
367-U1499B,GR,3,0.025783541763161957,0.0,0.025783541763161957,0.082363217884999,6477
367-U1499B,GR,8,0.021168108776266997,0.0,0.021168108776266997,0.082363217884999,6472
367-U1499B,GR,10,0.017001545595054096,0.0,0.017001545595054096,0.082363217884999,6470
367-U1499B,GR,20,0.01393188854489164,0.00015479876160990713,0.013777089783281734,0.082363217884999,6460
367-U1499B,GR,50,0.013685847589424573,0.0,0.013685847589424573,0.082363217884999,6430
367-U1499B,GR,100,0.009404388714733543,0.0,0.009404388714733543,0.082363217884999,6380
367-U1499B,GR,250,0.007383627608346709,0.0,0.007383627608346709,0.082363217884999,6230
367-U1499B,GR,500,0.005351170568561873,0.0,0.005351170568561873,0.082363217884999,5980
367-U1499B,GR,1000,0.0040145985401459855,0.0,0.0040145985401459855,0.082363217884999,5480
367-U1500B,GR,1,0.06075878482430351,0.00041999160016799666,0.06033879322413552,0.09961872265859775,7143
367-U1500B,GR,3,0.025906735751295335,0.0001400364094664613,0.025766699341828875,0.09961872265859775,7141
367-U1500B,GR,8,0.0203195067264574,0.0,0.0203195067264574,0.09961872265859775,7136
367-U1500B,GR,10,0.017381553125876085,0.00014017381553125876,0.017241379310344827,0.09961872265859775,7134
367-U1500B,GR,20,0.011650758001122965,0.0,0.011650758001122965,0.09961872265859775,7124
367-U1500B,GR,50,0.00817592331547787,0.0,0.00817592331547787,0.09961872265859775,7094
367-U1500B,GR,100,0.010079500283929585,0.0,0.010079500283929585,0.09961872265859775,7044
367-U1500B,GR,250,0.008848273861328691,0.0,0.008848273861328691,0.09961872265859775,6894
367-U1500B,GR,500,0.006773028296207104,0.0,0.006773028296207104,0.09961872265859775,6644
367-U1500B,GR,1000,0.005859375,0.0,0.005859375,0.09961872265859775,6144
368-U1501D,GR,1,0.056378132118451024,0.0,0.056378132118451024,0.10004032841114621,1756
368-U1501D,GR,3,0.030216647662485746,0.0,0.030216647662485746,0.10004032841114621,1754
368-U1501D,GR,8,0.018296169239565466,0.0,0.018296169239565466,0.10004032841114621,1749
368-U1501D,GR,10,0.018317115054378934,0.0,0.018317115054378934,0.10004032841114621,1747
368-U1501D,GR,20,0.017846862406447898,0.0,0.017846862406447898,0.10004032841114621,1737
368-U1501D,GR,50,0.014059753954305799,0.0,0.014059753954305799,0.10004032841114621,1707
368-U1501D,GR,100,0.011466505733252867,0.0,0.011466505733252867,0.10004032841114621,1657
368-U1501D,GR,250,0.0092899800928998,0.0,0.0092899800928998,0.10004032841114621,1507
368-U1501D,GR,500,0.00477326968973747,0.0,0.00477326968973747,0.10004032841114621,1257
368-U1501D,GR,1000,0.0,0.0,0.0,0.10004032841114621,757
368-U1502B,GR,1,0.065,0.0007142857142857143,0.06428571428571428,0.06343955410939393,5600
368-U1502B,GR,3,0.03536977491961415,0.0003572704537334762,0.035012504465880674,0.06343955410939393,5598
368-U1502B,GR,8,0.02002503128911139,0.0007151796888968353,0.019309851600214555,0.06343955410939393,5593
368-U1502B,GR,10,0.019674476837774995,0.00017885888034340904,0.019495617957431585,0.06343955410939393,5591
368-U1502B,GR,20,0.01809711521232754,0.00035835871707579287,0.017738756495251747,0.06343955410939393,5581
368-U1502B,GR,50,0.012069897315798956,0.0,0.012069897315798956,0.06343955410939393,5551
368-U1502B,GR,100,0.011816033448463915,0.0,0.011816033448463915,0.06343955410939393,5501
368-U1502B,GR,250,0.00897028592786395,0.0,0.00897028592786395,0.06343955410939393,5351
368-U1502B,GR,500,0.005685159772593609,0.0,0.005685159772593609,0.06343955410939393,5101
368-U1502B,GR,1000,0.005650945446642034,0.0,0.005650945446642034,0.06343955410939393,4601
368-U1505C,GR,1,0.07703777335984095,0.0,0.07703777335984095,0.07960610838894362,2012
368-U1505C,GR,3,0.028855721393034824,0.0,0.028855721393034824,0.07960610838894362,2010
368-U1505C,GR,8,0.018952618453865335,0.0,0.018952618453865335,0.07960610838894362,2005
368-U1505C,GR,10,0.01597603594608088,0.0,0.01597603594608088,0.07960610838894362,2003
368-U1505C,GR,20,0.014049172102358254,0.0,0.014049172102358254,0.07960610838894362,1993
368-U1505C,GR,50,0.015282730514518594,0.0,0.015282730514518594,0.07960610838894362,1963
368-U1505C,GR,100,0.010454783063251438,0.0,0.010454783063251438,0.07960610838894362,1913
368-U1505C,GR,250,0.008508224617129892,0.0,0.008508224617129892,0.07960610838894362,1763
368-U1505C,GR,500,0.0019828155981493722,0.0,0.0019828155981493722,0.07960610838894362,1513
368-U1505C,GR,1000,0.0019743336623889436,0.0,0.0019743336623889436,0.07960610838894362,1013
369-U1512A,GR,1,0.048732083792723264,0.0,0.048732083792723264,0.11324858233425834,4535
369-U1512A,GR,3,0.023384072358261638,0.0,0.023384072358261638,0.11324858233425834,4533
369-U1512A,GR,8,0.014796819787985865,0.0,0.014796819787985865,0.11324858233425834,4528
369-U1512A,GR,10,0.015466195315952275,0.0,0.015466195315952275,0.11324858233425834,4526
369-U1512A,GR,20,0.016386182462356066,0.0,0.016386182462356066,0.11324858233425834,4516
369-U1512A,GR,50,0.013820775746767721,0.0,0.013820775746767721,0.11324858233425834,4486
369-U1512A,GR,100,0.009467989179440937,0.0,0.009467989179440937,0.11324858233425834,4436
369-U1512A,GR,250,0.005132991133924405,0.0,0.005132991133924405,0.11324858233425834,4286
369-U1512A,GR,500,0.006689791873141724,0.0,0.006689791873141724,0.11324858233425834,4036
369-U1512A,GR,1000,0.0022624434389140274,0.0,0.0022624434389140274,0.11324858233425834,3536
369-U1513D,GR,1,0.13183856502242153,0.0,0.13183856502242153,0.09014148738945821,2230
369-U1513D,GR,3,0.05834829443447038,0.0,0.05834829443447038,0.09014148738945821,2228
369-U1513D,GR,8,0.04948268106162843,0.0,0.04948268106162843,0.09014148738945821,2223
369-U1513D,GR,10,0.05132823052678973,0.0,0.05132823052678973,0.09014148738945821,2221
369-U1513D,GR,20,0.04929895974672094,0.0,0.04929895974672094,0.09014148738945821,2211
369-U1513D,GR,50,0.03530490600641907,0.0,0.03530490600641907,0.09014148738945821,2181
369-U1513D,GR,100,0.03144063819802909,0.0,0.03144063819802909,0.09014148738945821,2131
369-U1513D,GR,250,0.01867743563856638,0.0,0.01867743563856638,0.09014148738945821,1981
369-U1513D,GR,500,0.014442518775274409,0.0,0.014442518775274409,0.09014148738945821,1731
369-U1513D,GR,1000,0.0,0.0,0.0,0.09014148738945821,1231
375-U1520C,GR,1,0.049062290689886136,0.0,0.049062290689886136,0.1260171233790104,5972
