well,dt,cutoff_init,cutoff,cutoff_ci_95_l,cutoff_ci_95_r,alpha,alpha_ci_lower,alpha_ci_upper,gamma,gamma_std,k_gtlf,c_gtlf,std,variance,skewness,excess_kurtosis,msd,msd_exp,r2,n_samples
356-U1459C,3,1.590362822580645,1.9614474811827955,1.6754030568436378,2.2883553947132613,0.9502512562814068,0.9070351758793967,0.993467336683417,0.2856169507001021,0.1026224092757824,3.2455254387537966,1.169651626124348,1.7390835830700282,3.0244117089036875,0.1179306369864808,21.369178412351676,3.0231921880533235,1.2503866716219891,1.0,2480
356-U1459C,8,2.8418140202020195,3.7772444685185183,3.1763192121633,4.549862655260943,1.0083417085427135,0.9570854271356783,1.0595979899497487,0.1624838155020625,0.0864550564253427,4.42853805167714,1.1358011019162253,2.546143610618754,6.482847285894706,0.0077883855922361,7.195443392406776,6.480227953657979,1.031709183397615,0.9829271765805212,2475
356-U1459C,10,3.426790739991913,4.226375245990027,3.521979371658355,5.106870088904616,1.1165829145728643,1.0492462311557789,1.1839195979899495,0.1491880698452219,0.066338257813597,4.741023782917113,1.1157814853353498,2.7597558358577574,7.616252273550949,0.1440902830162765,6.484336648236027,7.613172511208227,0.9881287484782334,0.9842881704478008,2473
356-U1459C,20,3.7347571254567593,4.606200454730003,3.838500378941669,5.277938021044795,1.0824120603015075,1.0231155778894472,1.1417085427135678,0.0867778525673515,0.0806381584093738,5.835727370856469,1.1271784584880358,3.225035719102217,10.400855389485152,0.4972293282157476,5.552044247355628,10.39663254929454,0.880700541656617,0.9655538431715176,2463
356-U1459C,50,4.425087176325525,5.002806891012469,4.206905794715031,6.0261083005377465,0.9551758793969848,0.9189949748743718,0.991356783919598,0.0356948254227968,0.0937936194280124,8.868157442861541,1.1321258995442354,3.892983232185474,15.15531844607726,0.7017668300282108,4.732501410735265,15.149089379720468,0.7547070088708178,0.9392147829188742,2433
356-U1459C,100,6.975352203105329,9.2714056366275,7.796409285345852,12.432112103659602,0.9461306532663316,0.9109547738693466,0.9813065326633166,0.0173710197146138,0.0860749817797338,6.187881003426611,1.0990564320933087,4.104657289770688,16.84821146646765,-0.3482872243625327,3.92172130110033,16.841141297996618,0.6497231401987373,0.9088855821664436,2383
356-U1459C,250,13.101888222122705,15.540295196795544,11.655221397596655,16.09530573953824,1.307638190954774,1.2352763819095478,1.38,0.0120953487731709,0.0447564334005603,2.1391900982976866,1.0569466244040344,4.6864918302911205,21.963205675385417,-0.0611278934458508,2.9264197280714743,21.953369936166705,0.5660870479343725,0.8895724730090561,2233
356-U1459C,500,9.12739172970247,18.768199244200705,17.170905691502774,20.36549279689864,0.974070351758794,0.938894472361809,1.0092462311557788,0.0057875029469718,0.0804791952000559,2.7052211912285173,1.100871759892374,5.9023857895396175,34.83815800855921,-0.4811213758337161,2.1053887794313475,34.82058959806574,0.5357579527509637,0.9060803808335184,1983
356-U1459C,1000,12.4889995954147,17.35450568779501,13.959058922791638,19.618136864463924,1.1366834170854272,1.0773869346733669,1.1959798994974875,0.0051575031317912,0.0581484235189588,2.601212343486439,1.1502593442484623,7.010262842731603,49.143785124183374,0.3022746671777084,0.5804017343293566,49.11064703576518,0.5186132293474964,0.9226802111177564,1483
356-U1461D,1,1.4486554429602336,2.728301084241773,2.5577822664766625,2.898819902006884,1.0291457286432162,0.9889447236180904,1.0693467336683418,0.5078165136384416,0.0735526802482482,0.9320584645358296,1.0939868370981651,1.027529706306227,1.055817297341761,-0.1155854793885066,2.7370299086999736,1.0556551881298244,,,6513
